corpus,sample,dataset,token,before,word,after
CED,D2CHEYWO,ity,deformity,"Tempt no more diuel, thy ",deformitie, Hath chaung'd it selfe i
CED,D2CHEYWO,ity,extremity, persist no more In this ,extremitie, of friuolous loue. (^I^)
CED,D2CHEYWO,ity,extremity,And suffer thee in these ,extremities,. [$ (^Exit.^) $] [$ (^A
CED,D2CHEYWO,ity,humility,"e, Her constancie, modest ",humilitie,", Her patience, and admir"
CED,D2CHEYWO,ity,impurity,aint my soule with blacke ,impuritie,. [$ (^An.^) $] Take here
CED,D2CHEYWO,ity,solemnity,nuite him first with all ,solemnitie,". Goe to my Fathers, and "
CED,D2CHEYWO,ity,unity, late discord brought to a ,vnitie,. [$ (^Ami.^) $] (^ (\Ecce 
CED,D2CJONSO,ity,calamity,"] Faith, through a common ",calamity,", he bought me, Sir; and n"
CED,D2CJONSO,ity,capacity,I know there is a pond of ,capacity,", for her. [$VRS.$] For yo"
CED,D2CJONSO,ity,city,"all sippers, sippers o' the ",City,", they looke as they would n"
CED,D2CJONSO,ity,commodity,"r brothers bitch, M=rs= (^",Commodity,"^) , that's the Liuory yo"
CED,D2CJONSO,ity,enormity,[$IVS.$] It doth discouer ,enormitie,", I'le marke it more: I h"
CED,D2CJONSO,ity,equality,"is a lewd, and pernicious ",Enormity,: (as Master (^Ouerdoo^) c
CED,D2CJONSO,ity,familiarity,hrewdly to suspect their ,familiarity,; and the young man of a
CED,D2CJONSO,ity,familiarity,f we knew not of so much ,familiarity, betweene vs afore. [$KN
CED,D2CJONSO,ity,gentility, you meane? sweet buds of ,gentility,. [$COK.$] To ha' my pene
CED,D2CJONSO,ity,quality,as you stand? ha' you any ,qualities,"? [$TRA.$] Yes, good-man "
CED,D2CJONSO,ity,quality,"n, you shall finde he has ",qualities,", if you cheapen him. [$W"
CED,D2CJONSO,ity,vanity,cape so much of the other ,vanities,", by our earely entring. ["
CED,D2CJONSO,ity,vanity,yes be # drawne aside with ,vanity,", nor your eare with noyses"
CED,D2CJONSO,ity,vanity,were you not warn'd of the ,vanity, of the eye? haue you forgo
CED,D2CSHAKE,ity,capacity," matter to you, if you be ",capacity, of it. [$ (^Slen.^) $] Na
CED,D2CSHAKE,ity,familiarity,one another: I hope vpon ,familiarity, will grow more content:
CED,D2CSHAKE,ity,necessity,nd it shall bite vpon my ,necessitie,: he loues your wife; The
CED,D2CSHAKE,ity,necessity,d hiding mine honor in my ,necessity,", am faine to shuffle [^S"
CED,D2CSHAKE,ity,opportunity,g obseruance: Ingross'd ,opportunities, to meete her: fee'd eu
CED,D2CSHAKE,ity,possibility,"uen hundred pounds, and ",possibilities,", is goot gifts. [$ (^S"
CED,D2CSHAKE,ity,purity, then from the ward of her ,purity,", her reputation, her marri"
CED,D2CSHAKE,ity,quality,r. [$ (^Fal.^) $] Of what ,qualitie, was your loue then? [$ (^
CED,D2CSHAKE,ity,virginity," Page^) , which is pretty ",virginity,. [$ (^Slen.^) $] (^Mistr
CED,D2CWILKI,ity,adversity, To see his fall and your ,aduersity,", Some meanes I haue left"
CED,D2CWILKI,ity,charity,"mfort, and their wiues for ",Charity,", I dare not to looke out."
CED,D2CWILKI,ity,commodity,"faith, wil any man buy my ",commodity," out of my hand, as God s"
CED,D2CWILKI,ity,posterity," Rich in possessions, and ",Posterity,", Which should cal home t"
CED,D2CWILKI,ity,prodigality,arrborrow.^) $] What is ,prodigallity,? Faith like a Brush Tha
CED,D3CBROME,ity,captivity,"ave change, and scape the ",captivity, of Wedlock.^) This could
CED,D3CBROME,ity,city,"ensington^) , or any of the ",City, out-leaps (I know 'em all) 
CED,D3CBROME,ity,city,ELLA. THE COURT BEGGER. THE ,CITY, WITT. THE DAMOISELLE. BY RI
CED,D3CBROME,ity,city,e gay Gamsters wives o' the ,City," may command the hundreds, o"
CED,D3CBROME,ity,city, that carries a head in the ,City,", (but that's by the by) yet"
CED,D3CBROME,ity,city,ffection to some one of the ,City,", who is but comparative to "
CED,D3CBROME,ity,city,"ed a fortune, as any of the ",City,", that lend out money to hed"
CED,D3CBROME,ity,commodity,ld a parcell of the best ,Commodities, my husband had. And sho
CED,D3CBROME,ity,commodity,Saleware^) . I grant your ,Commodity," is good, The Gold and Si"
CED,D3CBROME,ity,commodity, me; and now I have it in ,Commodity,". Had you forgot it, when"
CED,D3CBROME,ity,dexterity, [$ (^Car.^) $] With such ,dexterity,", that if I would make a "
CED,D3CBROME,ity,dignity,u should neglect your owne ,dignity,. [$ (^Car.^) $] Umh -- I 
CED,D3CBROME,ity,possibility,"h my Unkle, and in faire ",possibility," of a good Estate, depor"
CED,D3CBROME,ity,scurrility,"Carrier of scandall, and ",scurrility, to the hands Of noblenes
CED,D3CBROME,ity,security,y Lord upon the mentioned ,security,", I will break it to sir ("
CED,D3CBROME,ity,urbanity,ithin all sweetenesse and ,urbanity,. [$ (^Car.^) $] As you ma
CED,D3CDRYDE,ity,civility,as not yet perform'd the ,Civilities, of his hour to you; he i
CED,D3CDRYDE,ity,civility,but he had learnt so much ,civility,", as not to press his Frie"
CED,D3CDRYDE,ity,curiosity,will give a stop to their ,curiosity,. [$ (^ (aside.) ^) $] [$
CED,D3CDRYDE,ity,humanity, I hope he will have more ,Humanity, then to search us. [$ (^C
CED,D3CDRYDE,ity,infidelity,"l, meerly to shadow your ",infidelity,. [$ (^Lov.^) $] Devise s
CED,D3CDRYDE,ity,necessity,is not the first time my ,necessities, have been strangely sup
CED,D3CDRYDE,ity,necessity,u; you'll grant there's a ,necessity," I should Cuckold him, if"
CED,D3CDRYDE,ity,necessity,", Is all your pleading of ",necessity, come to # this? [$ (^Bib
CED,D3CDRYDE,ity,opportunity,"ion; and, upon the first ",opportunity,", start you up, and surp"
CED,D3CDRYDE,ity,quality,"ughter, here's a person of ",Quality,", and one that # loves and"
CED,D3CDRYDE,ity,quality,hat are # raised on Men of ,Quality, -- [$ (^Non.^) $] He told
CED,D3CETHER,ity,civility,e Sir in this Ambaras of ,Civilities,", I could not come to hav"
CED,D3CETHER,ity,civility,"nd pardons Madam, # some ",Civilities, due of course upon the m
CED,D3CETHER,ity,civility,e her with a deal of dumb ,Civility," in passing by, then turn "
CED,D3CETHER,ity,clarity,PLACED WHERE NECESSARY FOR ,CLARITY,.^] [}ACT II. SCENE I.}] [
CED,D3CETHER,ity,gravity,Where did you leave their ,Gravities,? [$ (^Y. Bell.^) $] I'th
CED,D3CETHER,ity,opportunity,"give us time, and I hope ",opportunity, to Deceive him. [$ (^En
CED,D3CETHER,ity,quality,tful -- [$ (^L. Wood.^) $] ,Quality," was then consider'd, And "
CED,D3CETHER,ity,quality,"an of your Pride, Wit, and ",Quality,! [$ (^Loveit.^) $] This J
CED,D3CETHER,ity,quality,[$ (^Dor.^) $] A person of ,Quality,", and one who has a rest o"
CED,D3CETHER,ity,quality,ritten By a late beauty of ,Quality,", teaching you how To draw"
CED,D3CETHER,ity,security,"ruth, in Love there is No ",security, to be given for the futur
CED,D3CTB,ity,charity,Prayers Remembers all your ,Charity,. [$ (^Sir Rob.^) $] He do
CED,D3CTB,ity,chastity,t^) ! He ayme against thy ,chastity,? Alas. Has he bestowed up
CED,D3CTB,ity,chastity,^) $] Not to o'recome thy ,chastity,; but to try If any other 
CED,D3CTB,ity,city,"ir Rob.^) $] Dubd, with the ",Citie," Dagger. -- Then (^Rash^) ,"
CED,D3CTB,ity,city,. There be a hundred in the ,City,", that have swallowed worse "
CED,D3CTB,ity,dignity,Name: your Reputation; The ,dignity, you carry in your yeares;
CED,D3CTB,ity,gentility,"oper Gentleman: But, when ",Gentility,", -- Honesty, -- and prop"
CED,D3CTB,ity,purity,"rouble, he conveyes To th' ",purity," of Angels: -- Thus, I love"
CED,D3CTB,ity,purity,"ert^) , I love you in that ",purity,", -- that shall, When death"
CED,D3CTB,ity,quality,"same Schoole, in the same ",qualities,", Had thee instructed wit"
CED,D3CWYCHE,ity,chastity,ve more confidence in the ,chastity," of your Family, than you "
CED,D3CWYCHE,ity,civility,ave not so much as common ,civility,", for Ladies of our rank, "
CED,D3CWYCHE,ity,civility, [$ (^Pin.^) $] Damn your ,civility, -- [$ (^Aside.^) $] Madam
CED,D3CWYCHE,ity,commodity,hance the price of their ,commodities,", report to their fond C"
CED,D3CWYCHE,ity,curiosity,"cover'd Dish, gives a Man ",curiosity,", and appetite, when it m"
CED,D3CWYCHE,ity,generosity,"ry you, is a sign of his ",generosity,: Marriage is rather a si
CED,D3CWYCHE,ity,necessity,d you wou'd be thought in ,necessity, for a cloak. [$ (^Alith.
CED,D3CWYCHE,ity,obscenity,", I thought his very name ",obscenity,", and I wou'd as soon hav"
CED,D3CWYCHE,ity,obscenity,"rd with the wits, you are ",obscenity, all # over. [$ (^Squeam.
CED,D3CWYCHE,ity,quality,") $] Why, 'tis the Men of ",qualities," fault, they never visit "
CED,D3CWYCHE,ity,quality,"eat acquaintance, and good ",quality,", shou'd fall a keeping to"
CED,D3CWYCHE,ity,quality,s an errant shame Women of ,quality, shou'd be so slighted; me
CED,D3CWYCHE,ity,quality,re notorious for the man's ,quality,. [$ (^Squeam.^) $] 'Tis t
CED,D3CWYCHE,ity,quality, is the same with a Man of ,quality, as with another. [$ (^Lad
CED,D3CWYCHE,ity,quality,$] How! no sure the Man of ,quality," is likest one's Husband, "
CED,D3CWYCHE,ity,quality,ie Husbands these Women of ,quality," can meet with, a poor Cha"
CED,D3CWYCHE,ity,quality,"s, great acquaintance, and ",quality," shou'd take up with, and "
CED,D3CWYCHE,ity,quality,"ies of as great honour, as ",quality,". [$ (^Sr. Jas.^) $] Come,"
CED,D3CWYCHE,ity,scurrility, to make him pay for his ,scurrillity,; money makes up in a me
CED,D3CWYCHE,ity,security," for me, I have given you ",security, already to save you harml
CED,D3CWYCHE,ity,vanity,n.^) $] I tell her of the ,vanities, of the Town like a Confes
CED,D3CWYCHE,ity,vanity,"Nay, they do satisfy their ",vanity, upon us sometimes; and are
CED,D3CWYCHE,ity,vanity,"think if not for love, for ",vanity, a little. [$ (^Dain.^) $] 
CED,D4CCONGR,ity,barbarity,y -- 'tis a barbarity of ,barbarities,", and nothing could be g"
CED,D4CCONGR,ity,barbarity,'d you tenderly -- 'tis a ,barbarity," of barbarities, and noth"
CED,D4CCONGR,ity,civility,r (^Paul^) jealous of the ,Civility," of an undesigning person,"
CED,D4CCONGR,ity,credulity, then that hungry Gudgeon ,Credulity,", will bite at any thing "
CED,D4CCONGR,ity,familiarity,staken if there be not a ,Familiarity," between them, you do no"
CED,D4CCONGR,ity,fidelity,"itude to Benefactors, and ",Fidelity," to Friends, are different"
CED,D4CCONGR,ity,formality,"ffect either pertness, or ",formality,; for which I like him: H
CED,D4CCONGR,ity,humanity,voke me to frailty? Alas! ,Humanity," is feeble, Heaven knows! "
CED,D4CCONGR,ity,importunity,"sure, than to avoid the ",importunities, of her Love; and of tw
CED,D4CCONGR,ity,mediocrity, ^) ; he is too much a # ,Mediocrity,", in my mind. [$ (^Cynt.^"
CED,D4CCONGR,ity,necessity, you. [$ (^L. Touch.^) $] ,Necessity,", Impudence! Can no Grati"
CED,D4CCONGR,ity,necessity,ch so little time must of ,necessity, discover. Yet he is appr
CED,D4CCONGR,ity,necessity,"ld convince you, from the ",necessity, of my being firm with yo
CED,D4CCONGR,ity,necessity, the sin! -- well but the ,necessity," -- O Lord, here's some b"
CED,D4CCONGR,ity,opportunity," and Blood at best, and ",opportunities, between them are frequ
CED,D4CCONGR,ity,opportunity,Conveniency of frequent ,Opportunities,", -- I'll never consent"
CED,D4CCONGR,ity,opportunity,m not like to have many ,opportunities, this Evening. [$ (^Car
CED,D4CCONGR,ity,opportunity," my Arguments, and happy ",Opportunity,", accomplish'd my Design"
CED,D4CCONGR,ity,opportunity,"should cool, and have an ",opportunity, to talk with him privat
CED,D4CCONGR,ity,perplexity,d. Still it gave me less ,perplexity, to prevent the success o
CED,D4CCONGR,ity,purity,"seducing me, debauching my ",purity,", and perverting me from th"
CED,D4CCONGR,ity,quality,.^) $] Some distinguishing ,Quality,", as for example, # the (^"
CED,D4CCONGR,ity,quality,"eman, and as much a Man of ",Quality,! Ah! Nothing at all of th
CED,D4CCONGR,ity,quality,g more unbecoming a Man of ,Quality,", than to Laugh; Jesu, 'ti"
CED,D4CCONGR,ity,quality, any body else of the same ,Quality, does not Laugh with him. 
CED,D4CCONGR,ity,security,the better to bespeak his ,security, in her unfeigned Pleasure
CED,D4CCONGR,ity,security,"I am caught, caught in my ",security,", -- yet this was but a sh"
CED,D4CCONGR,ity,solemnity, of Mr. (^Brisk^) ; the # ,Solemnity,", yet Complaisance of my "
CED,D4CCONGR,ity,tranquility, all times. When I am in ,Tranquility,", my Lady (^Plyant^) sha"
CED,D4CFARQU,ity,barbarity,arbarity. [$ (^Sull.^) $] ,Barbarity,! oons what does the Woma
CED,D4CFARQU,ity,barbarity,d something of # your own ,Barbarity,. [$ (^Sull.^) $] Barbari
CED,D4CFARQU,ity,barbarity,SOURCE TEXT: Women^] call ,Barbarity,? do I ever meddle with y
CED,D4CFARQU,ity,brutality,hen who knows how far his ,Brutality, may carry him? [$Mrs. (^
CED,D4CFARQU,ity,captivity,ou complain to me of your ,Captivity,", who am in Chains my sel"
CED,D4CFARQU,ity,curiosity,y take care to prevent my ,Curiosity,", by giving me so much Bu"
CED,D4CFARQU,ity,fatality,ove and Death have their ,Fatalities,", and strike home one tim"
CED,D4CFARQU,ity,fidelity,"h'd upon for his Courage, ",Fidelity,", and Discretion to bear h"
CED,D4CFARQU,ity,necessity,"ends disown'd, and now my ",Necessity, brings me to what you se
CED,D4CFARQU,ity,opportunity, not a Husband the same ,Opportunities, there for humbling a W
CED,D4CFARQU,ity,quality,tenance suitable to your # ,Quality,. [$Mrs (^Sull.^) $] A Mai
CED,D4CFARQU,ity,quality,n her Hands by a Person of ,Quality,", there's the Arms upon th"
CED,D4CFARQU,ity,quality,only proper # to People of ,Quality,". [$ (^Arch.^) $] Madam, l"
CED,D4CFARQU,ity,security," is, to give him a Rival; ",Security, begets Negligence in all 
CED,D4CFARQU,ity,simplicity, Fellow has a world of # ,Simplicity,", and some Cunning, the f"
CED,D4CFARQU,ity,stupidity,your Razor. -- Inveterate ,Stupidity,! did you ever know so ha
CED,D4CKILLI,ity,activity,r know their Strength and ,Activity,", till they feel it at the"
CED,D4CKILLI,ity,charity, this Fop cure you of your ,Charity, for the Fool (^Lurcher^) 
CED,D4CKILLI,ity,city,rlove^) we must go into the ,City,. [$ (^Exit^) Marlove (^and^
CED,D4CKILLI,ity,hospitality,s as the old (^English^) ,Hospitality,", that brings you Ale an"
CED,D4CKILLI,ity,necessity, To reproach me with what ,Necessity,", Confusion, and Surprize"
CED,D4CKILLI,ity,probability,tumble on this frightful ,Probability,? I am alarm'd! And some
CED,D4CKILLI,ity,propensity, ignorant Admiration and ,Propensity, to mimick those who only
CED,D4CKILLI,ity,quality,the want of infinite good ,Qualities,", that are requisite to e"
CED,D4CKILLI,ity,quality,"s, where he exposes Men of ",Quality,", by making 'em Fops and F"
CED,D4CKILLI,ity,quality,t happily you have another ,Quality,", that always thrives, tho"
CED,D4CKILLI,ity,security,"y, Madam -- 'tis the best ",Security, against Envy. [$ (^Wor.^)
CED,D4CKILLI,ity,security,"Ay, but 'tis not the best ",Security," against Hatred, (^Bellama"
CED,D4CKILLI,ity,sincerity,itwou'd^) -- how near are ,Sincerity, and Dullness allied! ful
CED,D4CKILLI,ity,vanity,"it, I'll be sworn you have ",Vanity, enough to expect it. [$ (^
CED,D4CMANLE,ity,authority,ed upon your Marriage; my ,Authority, secures your Consent. [$
CED,D4CMANLE,ity,charity,st confess I staid in pure ,Charity," to the # fair Sex, to exp"
CED,D4CMANLE,ity,city,"f Tobacco, after being in a ",City, Coffee-House. (^Belira^) ha
CED,D4CMANLE,ity,civility,taking as your Ladyship's ,Civility,. [$L. (^Y. L.^) $] Lard S
CED,D4CMANLE,ity,civility,"d, now I think on't, Cold ",Civility," to a Wife, # gives one a "
CED,D4CMANLE,ity,curiosity,"orgive, and satisfie my # ",curiosity,; have you spent your tim
CED,D4CMANLE,ity,generosity, know the Extent of your ,Generosity,: But serve # me as I wou
CED,D4CMANLE,ity,generosity,ith the weak pretence of ,Generosity,; 'twas not doubled thick
CED,D4CMANLE,ity,gratuity,"little^) , accept of this ",Gratuity,; my # Husband faints! Lor
CED,D4CMANLE,ity,gravity,"in (^Spain^) , but their # ",Gravity," disgusted me, and therefo"
CED,D4CMANLE,ity,inhumanity,"m, by my absence, was an ",inhumanity, my Heart cou'd not agree
CED,D4CMANLE,ity,insincerity,'d be displeased at your ,insincerity,. [$Sir (^Am.^) $] Let m
CED,D4CMANLE,ity,opportunity,"w, favour me but with an ",opportunity," after Supper, and let ("
CED,D4CMANLE,ity,posterity,ntailing of them upon his ,Posterity,. [$ (^Wil.^) $] I have h
CED,D4CMANLE,ity,quality, carried it from all the # ,Quality, at the last Court Ball. [
CED,D4CMANLE,ity,quality,reedom of her Apartment to ,Quality, of both Sexes; A Lady of 
CED,D4CMANLE,ity,security,"Talent of # Secrecy, what ",Security, can you give of your Sinc
CED,D4CMANLE,ity,sincerity,rity can you give of your ,Sincerity,? [$ (^Wild.^) $] Your Ch
CED,D4CMANLE,ity,vanity,oing to convince me of the ,Vanity, and Folly of all those who
CED,D4CSHADW,ity,civility,ugh acknowledg your great ,Civility,. [$Sir (^Edw.^) $] No Com
CED,D4CSHADW,ity,dignity,dou love promotions # and ,dignities,? den I predee now be a C
CED,D4CSHADW,ity,dignity, tell you there is braave ,dignities,", and promotions too; wha"
CED,D4CSHADW,ity,frugalty,rve for our cold one; and ,Frugality, from those places where 
CED,D4CSHADW,ity,hospitality,"customes, they leave off ",Hospitality,", for which we were famo"
CED,D4CSHADW,ity,incivility,e pleas'd to pardon my # ,incivillity,", in rushing unawares in"
CED,D4CSHADW,ity,opportunity, (^Bell.^) $] This is an ,opportunity, beyond our hopes. # [$ 
CED,D4CSHADW,ity,opportunity,en gives us yet a longer ,Opportunity,", and # certainly intend"
CED,D4CSHADW,ity,opportunity,t fit I should lose this ,opportunity,", # to tell you that (wh"
CED,D4CSHADW,ity,quality,"for my Son, a man of his # ",Quality," and Title, Born of such a"
CED,D4CSHADW,ity,solidity," me, now phare will be de ",soleedity, of dat Joy. [$Sir (^Edw.
CED,D4CSHADW,ity,solidity,"g damn'd, and phare is de ",solidity," now of daat, daat # dou v"
CED,D4CSHADW,ity,vanity, # poysoned with Forreign ,Vanities,", that methinks the Genius"
CED,D4CSHADW,ity,vanity,"stare at my Equipage, is a ",vanity, I have always scorn'd. [$ 
CED,D5CFIELD,ity,ability, does! That we whose great ,Ability, and Parts Have rais'd us 
CED,D5CFIELD,ity,capacity,is not so much his acting ,Capacity, which I intend to exhibit
CED,D5CFIELD,ity,capacity,Posts Men of the greatest ,Capacity,. [$2 (^Polit.^) $] I have
CED,D5CFIELD,ity,capacity,h much the same Regard to ,Capacity, as Places in the former h
CED,D5CFIELD,ity,chastity,th; here's Temperance and ,Chastity,", and a Pack of Stuff that"
CED,D5CFIELD,ity,city,y say there's a Lady in the ,City, has a Child by him. [$ (^Al
CED,D5CFIELD,ity,commodity, how scarce this valuable ,Commodity, is. [$Mrs. (^Screen.^) $
CED,D5CFIELD,ity,commodity," it is true, is a useless ",Commodity,", but I think we had bett"
CED,D5CFIELD,ity,commodity,", this is a very valuable ",Commodity,"; Come, who puts it in? ["
CED,D5CFIELD,ity,curiosity,contains: A Catalogue of ,Curiosities, which were collected by
CED,D5CFIELD,ity,curiosity,d to produce some of the ,Curiosities, which this choice Cabin
CED,D5CFIELD,ity,dignity," , Propriety of Character, ",Dignity," of Diction, and Emphasis "
CED,D5CFIELD,ity,generosity,se one Half-penny by his ,Generosity,"; so far from it, that he"
CED,D5CFIELD,ity,opportunity,"en of Quality, I have an ",Opportunity, of seeing something of 
CED,D5CFIELD,ity,popularity,hat do you think of your ,Popularity,"? I can tell you, Mr. (^P"
CED,D5CFIELD,ity,prosperity,"ry, I always measure the ",Prosperity, of the latter by that of
CED,D5CFIELD,ity,prosperity,o high. [$1 (^Patr.^) $] ,Prosperity, to (^Corsica^) . [$2 (^P
CED,D5CFIELD,ity,quality, is; it has one particular ,Quality,", put as much as you will "
CED,D5CFIELD,ity,quality,es talking to the Women of ,Quality,", I have an Opportunity of"
CED,D5CFIELD,ity,quantity,"ot 8, a very considerable ",Quantity, of Interest at Court; Com
CED,D5CFIELD,ity,scurrility," Ill-nature, and without ",Scurrility,", ill Manners, or common "
CED,D5CGARRI,ity,familiarity,as'd to honour me with a ,Familiarity, which I neither expecte
CED,D5CGARRI,ity,infidelity,"o one, whose Amours and ",Infidelities, are the common Topic of
CED,D5CGARRI,ity,infidelity,icular Reasons for their ,Infidelity,"; pray, let 'em enjoy it,"
CED,D5CGARRI,ity,infidelity,"ou like reading, there's ",Infidelity,", and baudy Novels for yo"
CED,D5CGARRI,ity,iniquity,s. DOTTEREL.$] Monster of ,Iniquity,! -- [$DAFFODIL.$] She has
CED,D5CGARRI,ity,irregularity, Fashion has made such ,Irregularities," Accomplishments, and t"
CED,D5CGARRI,ity,necessity,L.$] Nothing but absolute ,Necessity, cou'd have made me take 
CED,D5CGARRI,ity,opportunity,"e begun this Morning, an ",Opportunity, may offer. [$SOPHIA.$] 
CED,D5CGARRI,ity,quality,"fine Woman, and a Woman of ",Quality,. [$DAFFODIL.$] A fine Wom
CED,D5CGARRI,ity,quality,"n, perhaps, for a Woman of ",Quality, -- but she is an absolute
CED,D5CGARRI,ity,sincerity,PEWIT.$] Then there is no ,Sincerity, in Man. [$ (^Going.^) $]
CED,D5CGARRI,ity,tranquility," and so, for the Sake of ",Tranquility, -- I'll go to the Opera
CED,D5CGARRI,ity,vanity,very young Fellow has his ,Vanities,; Fashion has made such Ir
CED,D5CGARRI,ity,vanity,) ; not but I can see his ,Vanities,", and laugh at 'em. [$ARAB"
CED,D5CGARRI,ity,vanity, at Heart -- and then such ,Vanity,! -- but I had not Time to 
CED,D5CHOADL,ity,ability,ues himself upon his high ,Abilities,": Or the Man of Wit, who "
CED,D5CHOADL,ity,authority,ct.^) $] And who gave you ,Authority," to watch his Actions, or"
CED,D5CHOADL,ity,chastity,as Prude more resolute in ,Chastity," and Ill-nature, than I wa"
CED,D5CHOADL,ity,civility,there seems to be so much ,Civility," in your Rudeness, that I "
CED,D5CHOADL,ity,civility,e treated me with so much ,Civility," in the Country, that I th"
CED,D5CHOADL,ity,civility,endeavour to deserve your ,Civility,. [$ (^Jack Meg.^) $] Oh! 
CED,D5CHOADL,ity,curiosity,ce a Woman has awak'd his ,Curiosity,", she may lead him a Danc"
CED,D5CHOADL,ity,curiosity,t that I may satisfy your ,Curiosity,". First, as to your whenc"
CED,D5CHOADL,ity,curiosity,"atest of all Inducements, ",Curiosity,". Let me assure you, a Wo"
CED,D5CHOADL,ity,gentility, of her Sprightliness and ,Gentility, cannot but frequent all 
CED,D5CHOADL,ity,necessity,-- What can I say to her? ,Necessity, must plead in my Excuse 
CED,D5CHOADL,ity,necessity,e Ladder ready in Case of ,Necessity,. [$ (^Jacin.^) $] Yes! y
CED,D5CHOADL,ity,obscenity,e. Their Wit lies only in ,Obscenity,", their Mirth in Noise, a"
CED,D5CHOADL,ity,opportunity,aking use of this second ,Opportunity,. [$ (^Clar.^) $] This B
CED,D5CHOADL,ity,perplexity,v'd. Yet amidst all this ,Perplexity,", it pleases me to find m"
CED,D5CHOADL,ity,quality,"our, and has as many good ",Qualities, -- [$ (^Mr. Strict.^) $]
CED,D5CHOADL,ity,quality,"ir Husbands, and People of ",Quality, that had rather go to the
CED,D5CHOADL,ity,sagacity, it is not your Worship's ,Sagacity,", nor the great Chain at y"
CED,D5CHOADL,ity,sanctity,-- [$ (^Frank.^) $] Whose ,Sanctity, every one suspects. (^Jac
CED,D5CHOADL,ity,simplicity,t.^) $] But will not his ,Simplicity, expose him the more to (
CED,D5CHOADL,ity,simplicity, (^Aside^) $] I like his ,Simplicity, well. # It promises Hone
CED,D5CMILLE,ity,acidity," evil Constitution, to the ",Acidity," of your Stomach, the Alka"
CED,D5CMILLE,ity,authority,"ur Life, and by a supreme ",Authority,", could shorten or prolon"
CED,D5CMILLE,ity,city, you had been gone into the ,City,. [$ (^Enter Lady^) Hippish.
CED,D5CMILLE,ity,curiosity,"pe, Sir, you'll pardon my ",Curiosity, in visiting a Person of 
CED,D5CMILLE,ity,curiosity,so chastise thee for this ,Curiosity,! I'll so trample on thee
